Date,Trade Volume,Trade Value,Transaction,TAIEX,Change,
2020-11-02,"5,294,905,110","166,402,723,281","1,386,795","12,591.31",44.97,
2020-11-03,"5,322,961,398","168,037,751,259","1,382,926","12,736.01",144.70,
2020-11-04,"6,578,096,439","193,635,582,404","1,543,351","12,867.90",131.89,
2020-11-05,"5,603,467,831","176,324,654,250","1,402,391","12,918.80",50.90,
2020-11-06,"5,767,873,286","185,205,040,150","1,455,346","12,973.53",54.73,
2020-11-09,"6,798,077,586","223,243,577,745","1,678,202","13,127.47",153.94,
2020-11-10,"7,757,716,313","251,582,354,972","2,038,986","13,081.72",-45.75,
2020-11-11,"8,185,194,783","243,187,688,964","2,112,008","13,262.19",180.47,
2020-11-12,"6,858,089,882","226,313,274,550","1,750,856","13,221.78",-40.41,
2020-11-13,"5,864,501,402","181,096,250,749","1,490,133","13,273.33",51.55,
2020-11-16,"6,776,528,689","237,134,623,698","1,801,933","13,551.83",278.50,
2020-11-17,"6,633,573,972","239,482,702,532","1,866,529","13,593.01",41.18,
2020-11-18,"6,591,867,244","234,580,312,399","1,792,194","13,773.29",180.28,
2020-11-19,"6,243,552,736","209,775,157,334","1,702,339","13,722.43",-50.86,
2020-11-20,"5,986,755,969","221,195,197,667","1,722,729","13,716.44",-5.99,
2020-11-23,"7,028,271,628","239,256,004,940","1,892,861","13,878.01",161.57,
2020-11-24,"7,633,875,021","266,723,419,446","2,187,878","13,807.13",-70.88,
2020-11-25,"7,757,213,545","268,503,936,065","2,176,852","13,738.83",-68.30,
2020-11-26,"6,910,524,222","221,494,381,849","1,931,911","13,845.66",106.83,
2020-11-27,"7,292,147,468","240,858,423,784","2,046,229","13,867.09",21.43,
2020-11-30,"10,553,313,386","409,686,465,237","2,449,208","13,722.89",-144.20,
2020-12-01,"9,170,668,511","261,391,083,348","2,272,821","13,885.67",162.78,
2020-12-02,"8,956,941,170","290,212,212,410","2,337,052","13,989.14",103.47,
2020-12-03,"8,380,406,333","270,571,743,298","2,343,178","13,977.09",-12.05,
2020-12-04,"9,326,108,954","290,630,901,813","2,448,942","14,132.44",155.35,
2020-12-07,"10,622,974,913","335,390,088,503","2,855,401","14,256.60",124.16,
2020-12-08,"8,745,552,873","282,631,831,871","2,438,671","14,360.40",103.80,
2020-12-09,"8,859,421,151","311,572,078,121","2,488,160","14,390.14",29.74,
2020-12-10,"8,817,637,556","307,510,445,595","2,569,682","14,249.49",-140.65,
2020-12-11,"9,039,771,037","323,558,547,409","2,560,563","14,261.69",12.20,
2020-12-14,"7,705,137,274","235,223,161,929","1,994,731","14,211.05",-50.64,
2020-12-15,"8,827,642,910","277,699,803,823","2,360,342","14,068.52",-142.53,
2020-12-16,"7,048,147,239","252,463,005,323","1,990,822","14,304.46",235.94,
2020-12-17,"6,227,173,787","230,060,953,960","1,762,100","14,258.93",-45.53,
2020-12-18,"7,440,315,671","249,304,150,068","2,011,411","14,249.96",-8.97,
