date,securities_code,securities_name,buy,sell
2021-11-03,2409  ,友達            ,"73,130,114","34,446,793",
2021-11-03,2344  ,華邦電          ,"28,117,163","8,319,000",
2021-11-03,2610  ,華航            ,"46,727,694","31,888,454",
2021-11-03,3481  ,群創            ,"89,226,128","76,319,445",
2021-11-03,1314  ,中石化          ,"12,858,000","2,011,000",
2021-11-03,6116  ,彩晶            ,"14,712,000","6,319,000",
2021-11-03,2337  ,旺宏            ,"11,909,000","3,794,060",
2021-11-03,2340  ,光磊            ,"13,281,050","6,544,491",
2021-11-03,1605  ,華新            ,"9,020,914","2,320,000",
2021-11-03,2408  ,南亞科          ,"9,567,529","2,937,139",
2021-11-03,2891  ,中信金          ,"11,265,121","4,738,750",
2021-11-03,2023  ,燁輝            ,"8,329,000","1,947,000",
2021-11-03,3035  ,智原            ,"10,999,200","4,870,795",
2021-11-03,4960  ,誠美材          ,"6,452,000","438,000",
2021-11-03,6191  ,精成科          ,"5,058,000","546,502",
2021-11-03,"=""0056  """,元大高股息      ,"4,152,765","30,028",
2021-11-03,3706  ,神達            ,"4,279,000","326,000",
2021-11-03,3189  ,景碩            ,"10,050,170","6,195,964",
2021-11-03,2027  ,大成鋼          ,"6,001,000","2,225,999",
2021-11-03,2002  ,中鋼            ,"10,574,397","7,039,100",
2021-11-03,1612  ,宏泰            ,"3,983,000","504,000",
2021-11-03,1710  ,東聯            ,"6,886,000","3,427,000",
2021-11-03,2324  ,仁寶            ,"5,902,638","2,708,000",
2021-11-03,"=""00893 """,國泰智能電動車  ,"4,044,000","915,000",
2021-11-03,3033  ,威健            ,"4,955,000","1,831,832",
2021-11-03,2376  ,技嘉            ,"9,638,367","6,561,781",
2021-11-03,1308  ,亞聚            ,"5,721,000","2,722,020",
2021-11-03,"=""00637L""",元大滬深300正2  ,"3,443,000","445,000",
2021-11-03,2022  ,聚亨            ,"3,704,000","780,000",
2021-11-03,1905  ,華紙            ,"3,363,000","454,000",
2021-11-03,2492  ,華新科          ,"5,085,000","2,204,000",
2021-11-03,2030  ,彰源            ,"5,182,030","2,405,000",
2021-11-03,2329  ,華泰            ,"3,952,000","1,252,291",
2021-11-03,1440  ,南紡            ,"5,117,000","2,510,000",
2021-11-03,2618  ,長榮航          ,"33,196,493","30,653,200",
2021-11-03,2498  ,宏達電          ,"3,754,000","1,212,200",
2021-11-03,2481  ,強茂            ,"16,599,030","14,274,725",
2021-11-03,6226  ,光鼎            ,"4,263,000","1,968,000",
2021-11-03,8112  ,至上            ,"2,797,000","534,737",
2021-11-03,2014  ,中鴻            ,"7,372,000","5,160,000",
2021-11-03,2313  ,華通            ,"3,946,000","1,804,150",
2021-11-03,1304  ,台聚            ,"3,314,000","1,208,000",
2021-11-03,3059  ,華晶科          ,"2,809,000","725,000",
2021-11-03,2031  ,新光鋼          ,"3,396,010","1,380,000",
2021-11-03,4927  ,泰鼎-KY         ,"2,704,000","712,897",
2021-11-03,2323  ,中環            ,"2,210,000","273,000",
2021-11-03,8110  ,華東            ,"3,387,000","1,475,656",
2021-11-03,1447  ,力鵬            ,"2,711,000","800,000",
2021-11-03,2515  ,中工            ,"2,701,000","838,000",
2021-11-03,1301  ,台塑            ,"4,964,127","3,144,000",
2021-11-03,9945  ,潤泰新          ,"3,513,500","1,750,982",
2021-11-03,2330  ,台積電          ,"8,595,797","6,872,543",
2021-11-03,2399  ,映泰            ,"1,807,000","207,873",
2021-11-03,6251  ,定穎            ,"3,626,000","2,030,200",
2021-11-03,3006  ,晶豪科          ,"3,636,152","2,043,000",
2021-11-03,2331  ,精英            ,"2,840,000","1,288,603",
2021-11-03,2034  ,允強            ,"1,861,025","321,000",
2021-11-03,2007  ,燁興            ,"3,020,000","1,517,000",
2021-11-03,2388  ,威盛            ,"5,161,000","3,686,648",
2021-11-03,1312  ,國喬            ,"2,670,500","1,209,000",
2021-11-03,1409  ,新纖            ,"1,674,000","219,000",
2021-11-03,3702  ,大聯大          ,"1,841,800","415,189",
2021-11-03,1455  ,集盛            ,"3,367,000","1,965,407",
2021-11-03,2354  ,鴻準            ,"2,170,478","793,701",
2021-11-03,2010  ,春源            ,"1,635,000","299,000",
2021-11-03,"=""00894 """,中信小資高價30  ,"1,327,000","22,000",
2021-11-03,2038  ,海光            ,"2,774,000","1,478,000",
2021-11-03,"=""00897 """,富邦基因免疫生技,"1,256,000","1,000",
2021-11-03,"=""00895 """,富邦未來車      ,"1,245,200","41,000",
2021-11-03,2069  ,運錩            ,"1,526,000","335,000",
