date,securities_code,securities_name,close,open,high,low,trade_volumn
2020-11-16,00679B,元大美債20年,46.11,46.08,46.13,45.91,89
2020-11-16,00687B,國泰20年美債,48.09,48.15,48.15,48.01,25
2020-11-16,00694B,富邦美債1-3,38.32,38.36,38.40,38.32,14
2020-11-16,00695B,富邦美債7-10,39.66,39.68,39.68,39.60,25
2020-11-16,00696B,富邦美債20年,48.11,48.04,48.18,48.04,16
2020-11-16,00697B,元大美債7-10,42.17,42.17,42.17,42.07,12
2020-11-16,00718B,富邦中國政策債,19.44,19.40,19.48,19.40,24
2020-11-16,00719B,元大美債1-3,30.74,30.80,30.80,30.74,18
2020-11-16,00720B,元大投資級公司債,45.70,45.70,45.73,45.67,55
2020-11-16,00721B,元大中國債3-5,44.87,44.69,44.87,44.68,10
2020-11-16,00722B,群益15年IG電信債,49.10,49.05,49.10,49.05,5
2020-11-16,00723B,群益15年IG科技債,45.68,45.66,45.68,45.66,7
2020-11-16,00724B,群益10年IG金融債,44.58,44.66,44.66,44.54,16
2020-11-16,00725B,國泰投資級公司債,44.35,44.35,44.35,44.29,12
2020-11-16,00726B,國泰5Y+新興債,44.33,44.39,44.39,44.33,4
2020-11-16,00727B,國泰1-5Y高收債,38.00,38.05,38.05,37.92,13
2020-11-16,00734B,台新JPM新興債,20.84,20.86,20.86,20.84,10
2020-11-16,00740B,富邦全球投等債,48.61,48.60,48.63,48.60,25
2020-11-16,00741B,富邦全球高收債,37.52,37.53,37.53,37.50,18
2020-11-16,00744B,國泰中國政金債5+,41.05,41.05,41.05,41.05,4
2020-11-16,00745B,富邦中政債0-1,39.80,39.76,39.80,39.76,8
2020-11-16,00746B,富邦A級公司債,46.93,46.82,46.93,46.82,10
2020-11-16,00747B,FH中國政策債,50.40,50.15,50.45,50.15,7
2020-11-16,00748B,凱基中國債3-10,41.14,41.40,41.40,41.14,7
2020-11-16,00749B,凱基新興債10+,47.10,47.20,47.20,47.05,4
2020-11-16,00750B,凱基科技債10+,46.95,46.95,46.95,46.95,2
2020-11-16,00751B,元大AAA至A公司債,47.72,47.77,47.77,47.69,69
2020-11-16,00754B,群益AAA-AA公司債,48.92,48.92,48.92,48.92,4
2020-11-16,00755B,群益15年IG公用債,46.92,46.88,46.92,46.87,18
2020-11-16,00756B,群益15年EM主權債,49.63,49.60,49.63,49.60,8
2020-11-16,00758B,FH能源債,60.90,60.90,60.90,60.90,1
2020-11-16,00759B,FH製藥債,74.45,74.40,74.45,74.40,5
2020-11-16,00760B,FH新興企業債,68.35,68.30,68.35,68.30,6
2020-11-16,00761B,國泰A級公司債,48.90,48.80,48.92,48.80,4
2020-11-16,00764B,群益25年美債,48.39,48.36,48.43,48.35,8
2020-11-16,00765B,群益中國政金債,39.45,39.45,39.45,39.45,2
2020-11-16,00768B,FH20年美債,76.50,76.25,76.50,76.10,12
2020-11-16,00772B,中信高評級公司債,47.31,47.31,47.31,47.27,32
2020-11-16,00773B,中信優先金融債,48.17,48.13,48.21,48.13,12
2020-11-16,00777B,凱基AAA至A公司債,46.60,46.60,46.60,46.60,2
2020-11-16,00778B,凱基金融債20+,47.90,47.90,47.90,47.90,6
2020-11-16,00779B,凱基美債25+,48.90,48.90,48.90,48.90,2
2020-11-16,00780B,國泰A級金融債,42.70,42.70,42.70,42.70,2
2020-11-16,00781B,國泰A級科技債,46.60,46.60,46.60,46.60,2
2020-11-16,00782B,國泰A級公用債,45.15,45.15,45.15,45.15,2
2020-11-16,00784B,富邦中國投等債,39.12,39.02,39.12,39.02,10
2020-11-16,00785B,富邦金融投等債,45.74,45.75,45.76,45.74,5
2020-11-16,00786B,元大10年IG銀行債,----,----,----,----,0
2020-11-16,00787B,元大10年IG醫療債,45.20,45.15,45.23,45.15,124
2020-11-16,00788B,元大10年IG電能債,43.90,43.84,44.09,43.84,56
2020-11-16,00789B,FH公司債A3,69.35,69.30,69.40,69.10,14
2020-11-16,00790B,FH次順位IG金融債,66.95,67.10,67.10,66.95,3
2020-11-16,00791B,FH美元信用債1-5Y,57.50,57.70,57.70,57.50,5
2020-11-16,00792B,群益A級公司債,45.64,45.64,45.64,45.64,6
2020-11-16,00793B,群益AAA-A醫療債,45.12,45.00,45.15,45.00,7
2020-11-16,00794B,群益7+中國政金債,39.44,39.20,39.44,39.20,3
2020-11-16,00795B,中信美國公債20年,46.31,46.32,46.32,46.28,16
2020-11-16,00796B,中信中國債7-10,38.98,38.92,38.98,38.92,10
2020-11-16,00799B,國泰A級醫療債,44.30,44.42,44.42,44.30,3
2020-11-16,00831B,新光美債1-3,37.62,37.63,37.63,37.62,8
2020-11-16,00832B,新光美債20+,47.40,47.47,47.47,47.33,6
2020-11-16,00833B,第一金美債20+,43.46,43.46,43.46,43.46,1
2020-11-16,00834B,第一金金融債10+,44.94,44.94,44.94,44.94,2
2020-11-16,00836B,永豐10年A公司債,43.07,43.09,43.09,43.07,3
2020-11-16,00838B,永豐7-10年中國債,38.78,38.76,38.78,38.76,3
2020-11-16,00839B,凱基醫療保健債,44.06,43.95,44.06,43.95,4
2020-11-16,00840B,凱基IG精選15+,42.65,42.68,42.68,42.65,4
2020-11-16,00841B,凱基AAA-AA公司債,43.00,43.00,43.00,43.00,2
2020-11-16,00842B,台新美元銀行債,42.92,42.92,42.92,42.92,2
2020-11-16,00843B,台新中國政策債,38.79,38.63,38.79,38.63,9
2020-11-16,00844B,新光15年IG金融債,42.85,42.85,42.85,42.85,2
2020-11-16,00845B,富邦新興投等債,38.73,38.70,38.73,38.70,4
2020-11-16,00846B,富邦歐洲銀行債,39.43,39.41,39.43,39.41,3
2020-11-16,00847B,中信美國市政債,37.47,37.40,37.48,37.39,14
2020-11-16,00848B,中信新興亞洲債,39.58,39.57,39.58,39.57,6
2020-11-16,00849B,中信EM主權債0-5,37.76,37.77,37.77,37.75,8
2020-11-16,00853B,統一美債10年Aa-A,----,----,----,----,0
2020-11-16,00854B,富邦全球保險債,40.58,40.51,40.58,40.51,5
2020-11-16,00855B,富邦全球能源債,36.78,36.76,36.78,36.69,14
2020-11-16,00856B,永豐1-3年美公債,37.47,37.45,37.47,37.45,3
2020-11-16,00857B,永豐20年美公債,41.02,41.05,41.05,41.02,3
2020-11-16,00858,永豐美國500大,23.51,23.44,23.51,23.42,30
2020-11-16,00859B,群益0-1年美債,36.96,36.96,36.96,36.96,2
2020-11-16,00860B,群益1-5年IG債,38.39,38.39,38.39,38.39,2
2020-11-16,00862B,中信投資級公司債,41.10,41.00,41.13,41.00,14
2020-11-16,00863B,中信全球電信債,41.36,41.35,41.37,41.35,7
2020-11-16,00864B,中信美國公債0-1,37.54,37.53,37.54,37.53,6
2020-11-16,00867B,新光A-BBB電信債,41.86,41.86,41.86,41.86,2
2020-11-16,00868B,FT1-3年美公債,38.25,38.25,38.25,38.25,6
2020-11-16,00869B,FT10-25年公司債,40.14,40.14,40.14,40.14,2
2020-11-16,00870B,元大15年EM主權債,42.13,42.14,42.14,42.13,28
2020-11-16,00871B,元大中國政金債,39.72,39.55,39.73,39.55,10
2020-11-16,00872B,凱基美債1-3,38.44,38.44,38.44,38.44,2
2020-11-16,00873B,凱基新興債1-5,38.16,38.16,38.16,38.16,2
2020-11-16,00874B,凱基BBB公司債15+,38.90,38.83,38.90,38.83,5
2020-11-16,00877,FH中國5G,14.21,14.34,14.41,14.10,"1,732"
2020-11-16,00879B,第一金美債0-1,38.16,38.18,38.18,38.16,5
2020-11-16,00880B,第一金電信債15+,38.60,38.60,38.60,38.60,2
2020-11-16,1240,茂生農經,58.30,58.60,58.90,58.20,68
2020-11-16,1258,其祥-KY,15.65,16.35,16.35,15.55,48
2020-11-16,1259,安心,69.00,68.90,69.50,68.90,29
2020-11-16,1264,德麥,244.50,247.00,248.00,244.00,40
2020-11-16,1268,漢來美食,131.00,131.50,131.50,130.50,24
2020-11-16,1336,台翰,20.25,21.45,21.80,19.70,"2,577"
