date,securities_code,securities_name,dividend_year,P/E_ratio,Fiscal_year_quarter
2021-11-05,1101,台泥,7.00,11.83,110/2,
2021-11-05,1102,亞泥,7.72,8.87,110/2,
2021-11-05,1103,嘉泥,6.91,8.44,110/2,
2021-11-05,1104,環泥,5.26,10.50,110/2,
2021-11-05,1108,幸福,5.74,16.49,110/2,
2021-11-05,1109,信大,7.21,6.28,110/2,
2021-11-05,1110,東泥,0.54,123.00,110/2,
2021-11-05,1201,味全,2.36,18.60,110/2,
2021-11-05,1203,味王,3.35,16.82,110/2,
2021-11-05,1210,大成,5.61,14.34,110/2,
2021-11-05,1213,大飲,0.00,-,110/2,
2021-11-05,1215,卜蜂,5.60,12.39,110/2,
2021-11-05,1216,統一,4.02,17.75,110/2,
2021-11-05,1217,愛之味,0.00,14.93,110/2,
2021-11-05,1218,泰山,5.15,16.59,110/2,
2021-11-05,1219,福壽,4.66,12.40,110/2,
2021-11-05,1220,台榮,6.39,11.86,110/2,
2021-11-05,1225,福懋油,2.83,20.16,110/2,
2021-11-05,1227,佳格,4.72,16.01,110/2,
2021-11-05,1229,聯華,4.71,15.87,110/2,
2021-11-05,1231,聯華食,3.86,17.11,110/3,
2021-11-05,1232,大統益,3.76,19.36,110/3,
2021-11-05,1233,天仁,2.41,66.50,110/2,
2021-11-05,1234,黑松,5.10,20.06,110/3,
2021-11-05,1235,興泰,3.39,105.48,110/2,
2021-11-05,1236,宏亞,1.42,56.20,110/2,
2021-11-05,1256,鮮活果汁-KY,3.23,12.69,110/2,
2021-11-05,1301,台塑,2.24,12.10,110/2,
2021-11-05,1303,南亞,2.83,10.65,110/2,
2021-11-05,1304,台聚,2.92,8.24,110/2,
2021-11-05,1305,華夏,6.23,7.42,110/3,
2021-11-05,1307,三芳,2.31,18.95,110/2,
2021-11-05,1308,亞聚,3.55,10.38,110/2,
2021-11-05,1309,台達化,8.52,4.89,110/2,
2021-11-05,1310,台苯,2.74,10.20,110/2,
2021-11-05,1312,國喬,0.36,3.64,110/2,
2021-11-05,1313,聯成,4.50,6.77,110/3,
2021-11-05,1314,中石化,0.00,17.12,110/2,
2021-11-05,1315,達新,12.97,-,110/2,
2021-11-05,1316,上曜,0.00,31.86,110/2,
2021-11-05,1319,東陽,2.37,23.57,110/2,
2021-11-05,1321,大洋,3.03,15.23,110/2,
2021-11-05,1323,永裕,4.51,11.83,110/2,
2021-11-05,1324,地球,2.73,157.14,110/2,
2021-11-05,1325,恆大,29.41,2.27,110/2,
2021-11-05,1326,台化,3.11,10.56,110/3,
2021-11-05,1337,再生-KY,0.00,-,110/2,
2021-11-05,1338,廣華-KY,7.15,9.75,110/2,
