did,ddate,open_price,close_price,volume,high,low,company_id
1,2021/11/12,610,604,128,611,602,2330
2,2021/11/11,600,606,122,606,600,2330
3,2021/11/10,611,612,113,612,608,2330
4,2021/11/9,611,611,259,617,610,2330
5,2021/11/8,600,602,125,602,598,2330
6,2021/11/5,598,600,210,600,595,2330
7,2021/11/4,592,587,111,594,585,2330
8,2021/11/3,597,592,67.7,597,592,2330
9,2021/11/2,594,592,98.1,597,590,2330
10,2021/11/1,591,590,101,593,590,2330
11,2021/10/29,595,590,164,596,589,2330
12,2021/10/28,598,595,101,598,591,2330
13,2021/10/27,598,599,97.1,599,594,2330
14,2021/10/26,595,599,162,600,593,2330
15,2021/10/25,597,593,105,597,590,2330
16,2021/10/22,600,600,85.2,602,594,2330
17,2021/10/21,602,596,101,603,595,2330
18,2021/10/20,603,598,105,604,597,2330
19,2021/10/19,598,600,112,600,593,2330
20,2021/10/18,604,590,118,604,590,2330
21,2021/10/15,592,600,329,600,586,2330
22,2021/10/14,579,573,82.1,579,573,2330
23,2021/10/13,572,571,110,575,570,2330
24,2021/10/12,570,575,155,575,564,2330
25,2021/10/8,582,575,131,583,573,2330
26,2021/10/7,575,580,165,582,572,2330
27,2021/10/6,573,571,193,574,565,2330
28,2021/10/5,562,572,204,572,560,2330
29,2021/10/4,574,572,127,575,569,2330
30,2021/10/1,579,574,224,579,571,2330
31,2021/9/30,580,580,211,585,575,2330
32,2021/9/29,580,580,300,583,577,2330
33,2021/9/28,595,594,103,596,592,2330
34,2021/9/27,600,602,120,602,593,2330
35,2021/9/24,591,598,103,598,590,2330
36,2021/9/23,588,588,134,593,588,2330
37,2021/9/22,586,586,251,589,583,2330
38,2021/9/17,600,600,255,610,599,2330
39,2021/9/16,603,600,140,607,599,2330
40,2021/9/15,610,607,159,613,607,2330
41,2021/9/14,618,613,98.5,618,612,2330
42,2021/9/13,619,615,97.4,620,613,2330
43,2021/9/10,615,622,104,623,614,2330
44,2021/9/9,612,619,119,620,610,2330
45,2021/9/8,622,619,240,627,612,2330
46,2021/9/7,634,623,172,634,623,2330
47,2021/9/6,623,631,373,638,621,2330
48,2021/9/3,610,620,333,620,610,2330
49,2021/9/2,613,607,163,615,607,2330
50,2021/9/1,614,613,191,614,608,2330
51,2021/8/31,604,614,359,614,598,2330
52,2021/8/30,602,605,244,605,599,2330
53,2021/8/27,596,599,176,600,593,2330
54,2021/8/26,601,594,268,603,591,2330
55,2021/8/25,579,585,168,585,574,2330
56,2021/8/24,574,572,157,575,571,2330
57,2021/8/23,560,566,197,572,559,2330
58,2021/8/20,560,552,266,563,551,2330
59,2021/8/19,573,559,238,573,559,2330
60,2021/8/18,568,574,269,575,566,2330
61,2021/8/17,580,580,185,582,578,2330
62,2021/8/16,582,584,116,586,578,2330
63,2021/8/13,585,581,148,585,579,2330
64,2021/8/12,586,586,93.8,588,584,2330
65,2021/8/11,590,590,119,590,585,2330
66,2021/8/10,596,591,104,596,589,2330
67,2021/8/9,590,595,104,595,583,2330
68,2021/8/6,596,591,82.8,596,588,2330
69,2021/8/5,598,596,93.4,598,593,2330
70,2021/8/4,598,596,141,598,594,2330
71,2021/8/3,594,594,167,594,590,2330
72,2021/8/2,583,590,146,590,580,2330
73,2021/7/30,581,580,152,582,578,2330
74,2021/7/29,585,583,145,585,577,2330
75,2021/7/28,576,579,229,579,573,2330
76,2021/7/27,581,580,110,584,580,2330
77,2021/7/26,591,580,131,591,580,2330
78,2021/7/23,592,585,92.1,592,583,2330
79,2021/7/22,589,591,160,594,587,2330
80,2021/7/21,586,585,154,586,580,2330
81,2021/7/20,579,581,95,584,579,2330
82,2021/7/19,583,582,251,584,578,2330
83,2021/7/16,591,589,366,595,588,2330
84,2021/7/15,613,614,141,614,608,2330
85,2021/7/14,613,613,243,615,608,2330
